catalog_name,product_id,title,brand,colour,category,im_url,im_id
aijo_luxe,465958801_navy,Cotton Tora Dress with Insert Pocket,Mati,,Fusion Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/bb95b4d563552e8e.jpg?se=2026-08-22T08%3A21%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=rT/51u1pPxPrgHFCvunC%2B%2Br7md0YpxJdiZqHfDWrRwA%3D,bbe741d8bba95cd7
aijo_luxe,702136880_green,Women Silk 3-Piece Sets,PUNAM KHETANN,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/df31af61ea44f88f.jpg?se=2026-08-22T08%3A21%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=5W2cm8wsUCd%2BMLnVPjSS5o3n4qG6B5oeZuqbrrQluDU%3D,8ccd0df7d4549339
aijo_luxe,410391424_pz01,Main Line Blended Regular Fit Shirt,GIORGIO ARMANI,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/70b6a9e6a64bf0a9.jpg?se=2026-08-22T08%3A21%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=TkTEvQwPIhEXtvJ6EvQHTfx50/pj3VY6/XUJ30%2BkGqc%3D,20c6bc83190f6ab8
aijo_luxe,703159374_black,Women Embellished Boducon Dress,Edition II,,Fusion Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/82915e4717242193.jpg?se=2026-08-22T08%3A21%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=YCubItlvGWmodlbLrTCj2EWc/kqFr8fDTAEN7CagT00%3D,d1557bc15f59daf3
aijo_luxe,703126905_navy, Slim Fit Classic Shirt,S&N by Shantnu Nikhil,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/c2625bbb63f8729b.jpg?se=2026-08-22T08%3A21%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=B2994tOSe%2B8M4LwhlQkP4OC4ySI05BaFyGViR3o1m%2BE%3D,b08d538dbb30337d
aijo_luxe,701274272_maroon,Women Printed Fit & Flare Dress,Exotic India,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/1f2004f5c8b7953f.jpg?se=2026-08-22T08%3A21%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=ZnpU1ihigWr/AInNl12yUeXU1cxHNmtNfOBSPz8EumY%3D,ff5ae155d750a451
aijo_luxe,410501267_403,Paisley Foulard Midi Skirt,KATE SPADE,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/301c3cef01df0d1c.jpg?se=2026-08-22T08%3A21%3A14Z&sp=r&sv=2026-06-06&sr=b&sig=wuUABUvVmQ3js5W%2B5j7wgsKJ7XwlIwPof%2BeGwHkJuY0%3D,a8fb513fe8e70580
aijo_luxe,701511883_black,Men Graphic Print Regular Fit Hooded Sweatshirt,Rare Rabbit,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/9712b814f4b8c5b0.jpg?se=2026-08-22T08%3A21%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=EuVowIyc65/IHH1V8kX2I9RA/tyvjr8nxw9LX5H9Ufc%3D,f4ef8a62918cabf7
aijo_luxe,702036921_multi,Stainless Steel Analogue Watch,Michael Kors,,Timewear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/09c1cfba6b47afb8.jpg?se=2026-08-22T08%3A21%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=OsJfBlD5gcG/wRm6RvpGoPY9aChxbz9SB198iHin/cs%3D,45874e5c02cfed27
aijo_luxe,701186327_red,Solid Long Kurta,S&N by Shantnu Nikhil,,Ethnic Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/3c5b9bb58d00ba14.jpg?se=2026-08-22T08%3A21%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=7mGPeAmsdUqIZt4FsOVBdbA7bF5bcM50uJlklClmyRk%3D,032dee44748ec46e
aijo_luxe,410564656_ub109,Men Regular Fit Flat-Front Trousers,GIORGIO ARMANI,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/a63371b314601fd1.jpg?se=2026-08-22T08%3A21%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=Lgt%2BU9BK03Pj4SU/fE1RGmdvCXglDO31BR6CtY6LL1Q%3D,5978bab8bb5b9bd8
aijo_luxe,701859490_gold,Women Gold-Plated Stone-Studded Brooch,Ra Abta by Rahul,,Fashion Jewellery,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/0f937fcf9e37e674.jpg?se=2026-08-22T08%3A21%3A15Z&sp=r&sv=2026-06-06&sr=b&sig=%2BBnPinxV1lKXp27Psv6nol54%2BPbSpuIxxULjsYBkhMc%3D,eaefda4c3e7c7992
aijo_luxe,410331277_blue,Relaxed Fit Striped Shirt with Spread Collar,RITU KUMAR,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/5bad6c21480007da.jpg?se=2026-08-22T08%3A21%3A16Z&sp=r&sv=2026-06-06&sr=b&sig=ujkoyV2NqSMQWBJJA/j2AWZ5jUrgSNetzYlSHjdUtrA%3D,8c11e3ca076d551d
aijo_luxe,410455964_u47w,Sleeveless Top with A Wide Cross Drapery On The Front,GIORGIO ARMANI,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/66ca91fe4b05d8c2.jpg?se=2026-08-22T08%3A21%3A16Z&sp=r&sv=2026-06-06&sr=b&sig=cgeboQ%2BIgZGjAqsiF/j4ebMdZizxU67Y4EObRLAiBPo%3D,0393df10fc9271cd
aijo_luxe,410501420_3356,Andiamo Large Top Handle Bag,BOTTEGA VENETA,,"Bags, Belts & Wallets",https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/7c66a62f60fe2b84.jpg?se=2026-08-22T08%3A21%3A16Z&sp=r&sv=2026-06-06&sr=b&sig=dLI%2By2OFWNGMIBPspdzCAx7PzuJevucuIWbfsbOMXZk%3D,5321b6d3babd7604
aijo_luxe,700146236_green,Unisex Pashmina Shawl with Fringes,The Real Pashmina,,Clothing Accessories,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/eb622f2a3abbcc6f.jpg?se=2026-08-22T08%3A21%3A16Z&sp=r&sv=2026-06-06&sr=b&sig=lsS%2B9D6nANtArUdMLGxwP45l6THrxpFurQOukbc9r3M%3D,021d117baedb53cf
aijo_luxe,701325066_pink,Women Self-design Kurta Set,Janki India,,Ethnic Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/546dfa95666ed295.jpg?se=2026-08-22T08%3A21%3A16Z&sp=r&sv=2026-06-06&sr=b&sig=l9tMbklgTrHtE6ZHVk4kwiNkQ5Y/qr8Ao0hgzGElr6Y%3D,8ce91427e59a299c
aijo_luxe,701222046_navy,Women Embellished Gown Dress,Mac Duggal,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/a5d51efbcb6122bb.jpg?se=2026-08-22T08%3A21%3A16Z&sp=r&sv=2026-06-06&sr=b&sig=OpJ5q1GpoUvU3wNzkKJgLfXWruAEwaRY42Zy55zLxJk%3D,d3319081a3f1ad5d
aijo_luxe,469760640_wintertwig,Men Relaxed Fit Crew-Neck T-Shirt with Standing Fox Print,Maison Kitsune,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/9954320e8b49ebb2.jpg?se=2026-08-22T08%3A21%3A16Z&sp=r&sv=2026-06-06&sr=b&sig=rJvc3RrY5qI9E0EZbLNW2g8n3wYxvS7%2B/W3DCZ1J1yc%3D,b20e528569996604
aijo_luxe,410461327_teamroyalblue,Messi Graphic Shorts,Adidas Kids,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/842ed4ff4a3205f6.jpg?se=2026-08-22T08%3A21%3A17Z&sp=r&sv=2026-06-06&sr=b&sig=VwI3XnETkBOqaBNTSomnlD5SBFSL2NaKf/pcdHkZfyQ%3D,bf42550901e7df14
aijo_luxe,702631678_grey,Women Woven Saree with Contrast Border & Tassels,Zal From Benaras,,Ethnic Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/eb1b1dc5194bb9b5.jpg?se=2026-08-22T08%3A21%3A17Z&sp=r&sv=2026-06-06&sr=b&sig=dqka%2BAi5HQvC7jHwzewAt2/ZExeMYEXlN/4wrI1aS%2BU%3D,5e0bcbf91fa22691
aijo_luxe,465009778_silver,V-neck A-line Dress,YAVI,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/079d88bc3459c0a0.jpg?se=2026-08-22T08%3A21%3A17Z&sp=r&sv=2026-06-06&sr=b&sig=BTtZhUgqMeTK8C10N6TsBgKEVUMe/GaoT0335MW3QOc%3D,98d0dbdfab625656
aijo_luxe,702211756_blue,Women Denim 2-Piece Sets,Ombrello,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/4d1e54db2691b1b1.jpg?se=2026-08-22T08%3A21%3A17Z&sp=r&sv=2026-06-06&sr=b&sig=s5pjeklWjo9fRPhv0hUtAuVjsVq4e7uP%2B5lBZ78/VAA%3D,f758bab2b8969d81
aijo_luxe,410509072_tan,Women Sleep Eye Mask,Hunkemoller,,Clothing Accessories,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/bb46a7b5378475fa.jpg?se=2026-08-22T08%3A21%3A17Z&sp=r&sv=2026-06-06&sr=b&sig=E%2BVyYEntL0PxWgG5g883AGH/JOgDQlhFdxPN05jS/8k%3D,0df1a50ecc08cfaf
aijo_luxe,702607504_grey,Women Saree with Woven Motifs,Maayavi,,Ethnic Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/45cae632d6693ee5.jpg?se=2026-08-22T08%3A21%3A18Z&sp=r&sv=2026-06-06&sr=b&sig=W34qGwo/ip6ycEcBfbzJoXsjmcvzIdCWbdxswhdkHis%3D,f0fffd5b03977e06
aijo_luxe,701170633_blue, Mid Rise Washed Jeans   ,TRUE RELIGION,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/76b14e9d8b2198f6.jpg?se=2026-08-22T08%3A21%3A18Z&sp=r&sv=2026-06-06&sr=b&sig=VEs2CVZDUqNtrbzrxXjSt8HXnIm4frfZYwfZ7vk0QlY%3D,cec39159f54a0ba6
aijo_luxe,410507551_710,Aqua Touch Regular Fit Polo T-Shirt,PAUL & SHARK,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/505807d342045715.jpg?se=2026-08-22T08%3A21%3A18Z&sp=r&sv=2026-06-06&sr=b&sig=qFKRDO5twXi5yS0G2VKpgIUCSRL9hXPZCzEuEos9Z/0%3D,b40dd207a80df73c
aijo_luxe,464388313_multi,African Print Crepe Top with Skirt,Ps Pret By Payal Singhal,,Fusion Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/b1fa92fa484f5e08.jpg?se=2026-08-22T08%3A21%3A18Z&sp=r&sv=2026-06-06&sr=b&sig=JKylxdVA3ueKh6nU6/LQnU5%2B9Z9GpvHst5y429i2nEo%3D,ece513ebc2ddbc61
aijo_luxe,465507969_black,Sling Bag with Detachable Strap,Kelby Huston,,"Bags, Belts & Wallets",https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/4057fc991af7f1a9.jpg?se=2026-08-22T08%3A21%3A18Z&sp=r&sv=2026-06-06&sr=b&sig=LAcZUMwlJUifxkfNr/DXAXiaNevnwxga09e3JQIbET4%3D,d8fe7000b9bcf49a
aijo_luxe,700961335_blue,Men Slim Fit Shirt,Andamen,,Western Wear,https://rezolvemlsea5237258348.blob.core.windows.net/dataset-cache/images/1bbc5eb01a280fad.jpg?se=2026-08-22T08%3A21%3A18Z&sp=r&sv=2026-06-06&sr=b&sig=/XS5HfjQDU8J6oTSq0IdSsviX9jXRj8CKKzoRzbM/O8%3D,6ebba44ef3fcada8
