original_url,im_url,im_id,crop_box,crop_box_concept,im_name,im_description,labels,concepts,boxes,optional,box_statuses,box_sources,box_reasons,issue_types
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301053848001_5_860ceb5a-8339-4108-a096-0dc6fed83c85.jpg?v=1765946272,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301053848001_5_860ceb5a-8339-4108-a096-0dc6fed83c85.jpg?v=1765946272,edb737a6839b4be9,,,Classic Comet Solitaire Lab Diamond Stud Earring,,,"earring,outerwear","[492,285,516,310],[0,385,764,1021]","true,true","fp_incorrect,no_issue","model,model","[""must_include_category"", ""must_include_category""]","precision,no_issue"
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301061015001_1.jpg?v=1775221335,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301061015001_1.jpg?v=1775221335,da17fa788f019c67,,,Lab Diamond Drop Earrings,,,earring,"[330,441,371,515]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/WSPOMEJEWELLERTY_BR_2025_04_1812969.jpg?v=1766396457,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/WSPOMEJEWELLERTY_BR_2025_04_1812969.jpg?v=1766396457,7a5c24a5d07183f1,,,Gold Multilayer Rose V Ring,,,ring,"[200,366,282,429]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301053846001_4.jpg?v=1765946158,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301053846001_4.jpg?v=1765946158,15155ef72e552022,,,Classic Lab Diamond Tennis Bracelet,,,"bracelet,necklace,earring,ring","[308,707,677,823],[0,486,311,1012],[52,176,79,203],[542,232,628,293]","true,true,true","fp_incorrect,fp_incorrect,fp_incorrect","model,model,model","[""must_include_category"", ""must_include_category"", ""must_include_category""]","precision,precision,precision"
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/WSPOMEJEWELLERTY_BR_2025_04_1813219_d4dc81c5-41f2-497d-a1ed-eed3aade6811.jpg?v=1766396361,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/WSPOMEJEWELLERTY_BR_2025_04_1813219_d4dc81c5-41f2-497d-a1ed-eed3aade6811.jpg?v=1766396361,84b5c4be3b64bb62,,,Gold Floral Solitaire Ring,,,ring,"[351,507,437,541]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301028721001_4.jpg?v=1766388813,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301028721001_4.jpg?v=1766388813,808f825bcb86e50a,,,Sculpted Lab Diamond Ring,,,"ring,necklace","[457,623,506,680],[370,674,656,919]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301046981001_4.jpg?v=1766388591,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301046981001_4.jpg?v=1766388591,45381cd30d146d69,,,Emerald Cut Half Eternity Gold Plated Lab Diamond Ring,,,"necklace,ring","[219,242,641,578],[373,634,405,716]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301061014001_1.jpg?v=1775221333,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301061014001_1.jpg?v=1775221333,3ee167894d25d1f6,,,Oval Halo Lab Diamond Stud Earrings,,,earring,"[582,320,627,376]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301046984003_4_a1440284-87bc-4757-b772-313659e8ec6b.jpg?v=1766385208,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/301046984003_4_a1440284-87bc-4757-b772-313659e8ec6b.jpg?v=1766385208,3f7e82001d1d3503,,,Halo Flower-Style Lab Diamond Solitaire Ring,,,ring,"[436,607,542,686]",true,fp_incorrect,model,"[""must_include_category""]",precision
https://cdn.shopify.com/s/files/1/0266/6276/4597/files/POMELLODAY115369_9550fee8-0615-4c40-af67-5a59bcd1da87.jpg?v=1766143708,https://cdn.shopify.com/s/files/1/0266/6276/4597/files/POMELLODAY115369_9550fee8-0615-4c40-af67-5a59bcd1da87.jpg?v=1766143708,64467c3f83573948,,,Edgy Lab Diamond Solitaire Ring,,,"ring,ring","[248,508,321,626],[518,863,625,947]","true,true","fp_incorrect,fp_incorrect","model,model","[""must_include_category"", ""must_include_category""]","precision,precision"
